test_id,wall_clock,alpha_bravo_dist,bravo_charlie_dist,alpha_charlie_dist,formation_type
TEST-01-PATROL,1775088112.366,100.9,307.9,388.4,echelon
TEST-01-PATROL,1775088112.618,100.8,307.4,388.1,echelon
TEST-01-PATROL,1775088112.871,100.7,306.8,387.9,echelon
TEST-01-PATROL,1775088113.122,100.7,306.2,387.6,echelon
TEST-01-PATROL,1775088113.376,100.6,305.7,387.3,echelon
TEST-01-PATROL,1775088113.628,100.5,305.1,387.0,echelon
TEST-01-PATROL,1775088113.878,100.4,304.6,386.8,echelon
TEST-01-PATROL,1775088114.132,100.3,304.0,386.5,echelon
TEST-01-PATROL,1775088114.385,100.2,303.5,386.2,echelon
TEST-01-PATROL,1775088114.636,100.1,302.9,386.0,echelon
TEST-01-PATROL,1775088114.890,100.1,302.4,385.7,echelon
TEST-01-PATROL,1775088115.143,100.0,301.9,385.5,echelon
TEST-01-PATROL,1775088115.396,99.9,301.4,385.2,echelon
TEST-01-PATROL,1775088115.648,99.8,300.8,384.9,echelon
TEST-01-PATROL,1775088115.902,99.8,300.3,384.7,echelon
TEST-01-PATROL,1775088116.159,99.7,299.8,384.4,echelon
TEST-01-PATROL,1775088116.413,99.6,299.3,384.2,echelon
TEST-01-PATROL,1775088116.666,99.6,298.8,383.9,echelon
TEST-01-PATROL,1775088116.918,99.5,298.3,383.7,echelon
TEST-01-PATROL,1775088117.171,99.4,297.8,383.4,echelon
TEST-01-PATROL,1775088117.424,99.4,297.4,383.2,echelon
TEST-01-PATROL,1775088117.677,99.3,296.9,382.9,echelon
TEST-01-PATROL,1775088117.929,99.2,296.4,382.7,echelon
TEST-01-PATROL,1775088118.183,99.2,295.9,382.4,echelon
TEST-01-PATROL,1775088118.436,99.1,295.5,382.2,echelon
TEST-01-PATROL,1775088118.690,99.1,295.0,381.9,echelon
TEST-01-PATROL,1775088118.943,99.0,294.6,381.7,echelon
TEST-01-PATROL,1775088119.196,99.0,294.1,381.4,echelon
TEST-01-PATROL,1775088119.448,98.9,293.7,381.2,echelon
TEST-01-PATROL,1775088119.700,98.9,293.2,381.0,echelon
TEST-01-PATROL,1775088119.954,98.8,292.8,380.7,echelon
TEST-01-PATROL,1775088120.205,98.8,292.4,380.5,echelon
TEST-01-PATROL,1775088120.457,98.7,292.0,380.3,echelon
TEST-01-PATROL,1775088120.711,98.7,291.5,380.0,echelon
TEST-01-PATROL,1775088120.963,98.6,291.1,379.8,echelon
TEST-01-PATROL,1775088121.217,98.6,290.7,379.6,echelon
TEST-01-PATROL,1775088121.466,98.6,290.3,379.3,echelon
TEST-01-PATROL,1775088121.720,98.5,289.9,379.1,echelon
TEST-01-PATROL,1775088121.973,98.5,289.5,378.9,echelon
TEST-01-PATROL,1775088122.226,98.4,289.1,378.6,echelon
TEST-01-PATROL,1775088122.478,98.4,288.7,378.4,echelon
TEST-01-PATROL,1775088122.732,98.4,288.3,378.2,echelon
TEST-01-PATROL,1775088122.986,98.3,287.9,378.0,echelon
TEST-01-PATROL,1775088123.238,98.3,287.5,377.7,echelon
TEST-01-PATROL,1775088123.491,98.3,287.1,377.5,echelon
TEST-01-PATROL,1775088123.744,98.2,286.7,377.3,echelon
TEST-01-PATROL,1775088123.997,98.2,286.3,377.1,echelon
TEST-01-PATROL,1775088124.249,98.2,286.0,376.8,echelon
TEST-01-PATROL,1775088124.503,98.1,285.6,376.6,echelon
TEST-01-PATROL,1775088124.756,98.1,285.2,376.4,echelon
TEST-01-PATROL,1775088125.009,98.1,284.9,376.2,echelon
TEST-01-PATROL,1775088125.262,98.1,284.5,376.0,echelon
TEST-01-PATROL,1775088125.514,98.0,284.1,375.8,echelon
TEST-01-PATROL,1775088125.766,98.0,283.8,375.5,echelon
TEST-01-PATROL,1775088126.020,98.0,283.4,375.3,echelon
TEST-01-PATROL,1775088126.276,97.9,283.1,375.1,echelon
TEST-01-PATROL,1775088126.529,97.9,282.7,374.9,echelon
TEST-01-PATROL,1775088126.780,97.9,282.4,374.7,echelon
TEST-01-PATROL,1775088127.033,97.9,282.0,374.5,echelon
TEST-01-PATROL,1775088127.286,97.8,281.7,374.2,echelon
TEST-01-PATROL,1775088127.538,97.8,281.4,374.0,echelon
TEST-01-PATROL,1775088127.790,97.8,281.0,373.8,echelon
TEST-01-PATROL,1775088128.043,97.8,280.7,373.6,echelon
TEST-01-PATROL,1775088128.297,97.8,280.4,373.4,echelon
TEST-01-PATROL,1775088128.550,97.7,280.1,373.2,echelon
TEST-01-PATROL,1775088128.803,97.7,279.8,373.0,echelon
TEST-01-PATROL,1775088129.056,97.7,279.5,372.8,echelon
TEST-01-PATROL,1775088129.308,97.7,279.2,372.6,echelon
TEST-01-PATROL,1775088129.563,97.7,278.9,372.4,echelon
TEST-01-PATROL,1775088129.815,97.6,278.6,372.3,echelon
TEST-01-PATROL,1775088130.067,97.6,278.3,372.1,echelon
TEST-01-PATROL,1775088130.320,97.6,278.1,371.9,echelon
TEST-01-PATROL,1775088130.573,97.6,277.8,371.7,echelon
TEST-01-PATROL,1775088130.827,97.6,277.5,371.5,echelon
TEST-01-PATROL,1775088131.079,97.6,277.2,371.4,echelon
TEST-01-PATROL,1775088131.335,97.5,277.0,371.2,echelon
TEST-01-PATROL,1775088131.589,97.5,276.7,371.0,echelon
TEST-01-PATROL,1775088131.842,97.5,276.5,370.9,echelon
TEST-01-PATROL,1775088132.093,97.5,276.2,370.7,echelon
TEST-01-PATROL,1775088132.346,97.5,276.0,370.5,echelon
TEST-01-PATROL,1775088132.599,97.5,275.7,370.4,echelon
TEST-01-PATROL,1775088132.851,97.5,275.5,370.2,echelon
TEST-01-PATROL,1775088133.102,97.5,275.2,370.0,echelon
TEST-01-PATROL,1775088133.355,97.5,275.0,369.9,echelon
TEST-01-PATROL,1775088133.607,97.4,274.7,369.7,echelon
TEST-01-PATROL,1775088133.858,97.4,274.5,369.6,echelon
TEST-01-PATROL,1775088134.110,97.4,274.3,369.4,echelon
